Time,LLC,Speed,Ranking,Mileage,Address
2016-07-01 14:27:30,"-26.232058,28.046858",0,12,20507.2489,
2016-07-01 14:27:41,"-26.232070,28.046870",0,12,20509.0426,
2016-07-01 14:28:59,"-26.232182,28.046876",0,11,20521.5106,
2016-07-01 14:34:17,"-26.232042,28.046842",0,10,20537.4428,
2016-07-01 14:34:19,"-26.232050,28.046844",0,10,20538.3484,
2016-07-01 14:34:30,"-26.232058,28.046850",0,10,20539.414,
2016-07-01 14:34:39,"-26.232084,28.046882",0,10,20543.7218,
2016-07-01 14:34:50,"-26.232136,28.046946",0,10,20552.3348,
2016-07-01 14:35:01,"-26.232152,28.046962",0,10,20554.7252,
2016-07-01 14:35:12,"-26.232094,28.046902",0,10,20563.524,
2016-07-01 14:35:19,"-26.232088,28.046910",0,10,20564.5683,
2016-07-01 14:35:30,"-26.232088,28.046924",0,10,20565.9668,
2016-07-01 14:35:41,"-26.232074,28.046898",0,10,20568.9913,
2016-07-01 14:35:52,"-26.232064,28.046866",0,10,20572.3732,
2016-07-01 14:36:03,"-26.232046,28.046842",0,10,20575.4945,
2016-07-01 14:36:14,"-26.232016,28.046840",0,10,20578.8362,
2016-07-01 14:36:19,"-26.232000,28.046854",0,10,20581.0968,
2016-07-01 14:36:29,"-26.232056,28.046904",0,10,20589.0748,
2016-07-01 14:36:40,"-26.232110,28.046982",1.852,10,20598.9019,
2016-07-01 14:36:51,"-26.232116,28.047128",1.852,10,20613.4796,
2016-07-01 14:37:02,"-26.232070,28.047194",0,10,20621.8166,
2016-07-01 14:37:13,"-26.232078,28.047206",0,10,20623.3056,
2016-07-01 14:37:19,"-26.232098,28.047226",0,10,20626.2927,
2016-07-01 14:37:30,"-26.232096,28.047240",0,10,20627.7072,
2016-07-01 14:37:41,"-26.232088,28.047230",0,10,20629.0464,
2016-07-01 14:37:52,"-26.232090,28.047236",0,10,20629.6903,
2016-07-01 14:38:03,"-26.232094,28.047252",0,10,20631.3456,
2016-07-01 14:38:14,"-26.232096,28.047278",0,10,20633.949,
2016-07-01 14:38:19,"-26.232100,28.047296",0,10,20635.7972,
2016-07-01 14:38:32,"-26.232106,28.047296",0,10,20636.4685,
2016-07-01 14:38:43,"-26.232104,28.047294",0,10,20636.4685,
2016-07-01 14:38:54,"-26.232104,28.047302",0,10,20637.2628,
2016-07-01 14:39:05,"-26.232024,28.047318",3.704,10,20646.3001,
2016-07-01 14:39:11,"-26.231880,28.047322",3.704,10,20662.3172,
2016-07-01 14:39:21,"-26.231844,28.047106",24.076,10,20684.2304,
2016-07-01 14:39:31,"-26.231822,28.046660",0,11,20728.7831,
2016-07-01 14:39:42,"-26.231756,28.046470",24.076,11,20749.1055,
2016-07-01 14:39:53,"-26.230928,28.046088",25.928,10,20848.7475,
2016-07-01 14:40:04,"-26.231014,28.045378",42.596,10,20920.2085,
2016-07-01 14:40:11,"-26.231452,28.044016",48.152,10,21064.5259,
2016-07-01 14:40:22,"-26.231748,28.043056",29.632,10,21165.7785,
2016-07-01 14:40:31,"-26.232728,28.042434",53.708,10,21291.1724,
2016-07-01 14:40:41,"-26.234050,28.041664",57.412,10,21457.0257,
2016-07-01 14:40:52,"-26.235418,28.040894",61.116,10,21627.4286,
2016-07-01 14:41:03,"-26.236860,28.040068",64.82,10,21807.6983,
2016-07-01 14:41:11,"-26.238216,28.039286",44.448,10,21977.4568,
2016-07-01 14:41:21,"-26.238528,28.038742",37.04,10,22041.8574,
2016-07-01 14:41:32,"-26.238264,28.037310",62.968,10,22187.6673,
2016-07-01 14:41:43,"-26.237920,28.035470",55.56,10,22375.129,
2016-07-01 14:41:51,"-26.238258,28.034978",38.892,10,22436.9393,
2016-07-01 14:42:02,"-26.239056,28.034796",11.112,10,22527.5105,
2016-07-01 14:42:11,"-26.239180,28.034774",0,10,22541.4721,
2016-07-01 14:42:21,"-26.239184,28.034784",0,10,22542.5628,
2016-07-01 14:42:32,"-26.239184,28.034784",0,10,22542.5628,
2016-07-01 14:42:41,"-26.239386,28.034740",25.928,10,22565.4487,
2016-07-01 14:42:52,"-26.240360,28.034506",37.04,11,22676.2385,
2016-07-01 14:43:03,"-26.241350,28.034284",44.448,11,22788.526,
2016-07-01 14:43:11,"-26.242744,28.033962",64.82,11,22946.8235,
2016-07-01 14:43:21,"-26.244340,28.033596",59.264,11,23128.0056,
2016-07-01 14:43:32,"-26.245012,28.033104",37.04,11,23217.3992,
2016-07-01 14:43:43,"-26.244746,28.031678",55.56,11,23362.6603,
2016-07-01 14:43:54,"-26.244550,28.030678",14.816,11,23464.746,
2016-07-01 14:44:01,"-26.244540,28.030624",0,11,23470.2441,
2016-07-01 14:44:11,"-26.244534,28.030624",0,11,23470.9086,
2016-07-01 14:44:21,"-26.244518,28.030598",5.556,11,23474.0529,
2016-07-01 14:44:32,"-26.244376,28.029846",48.152,11,23550.6958,
2016-07-01 14:44:43,"-26.244436,28.028714",29.632,11,23663.7899,
2016-07-01 14:44:54,"-26.244470,28.028586",0,11,23677.1039,
2016-07-01 14:45:05,"-26.244474,28.028582",0,11,23677.7118,
2016-07-01 14:45:11,"-26.244474,28.028580",0,11,23677.7118,
2016-07-01 14:45:21,"-26.244658,28.028328",31.484,11,23710.1194,
2016-07-01 14:45:31,"-26.246098,28.028350",75.932,11,23870.255,
2016-07-01 14:45:42,"-26.248254,28.028018",90.748,11,24112.2668,
2016-07-01 14:45:53,"-26.250660,28.028116",98.156,11,24379.9801,
2016-07-01 14:46:04,"-26.253174,28.028328",100.008,11,24660.3224,
2016-07-01 14:46:11,"-26.255650,28.028632",96.304,11,24937.305,
2016-07-01 14:46:21,"-26.257980,28.029302",94.452,11,25204.8655,
2016-07-01 14:46:32,"-26.260292,28.029794",92.6,11,25466.5877,
2016-07-01 14:46:43,"-26.262516,28.030260",90.748,11,25718.2131,
2016-07-01 14:46:54,"-26.264962,28.030810",101.86,11,25995.6701,
2016-07-01 14:47:05,"-26.267562,28.031358",107.416,11,26289.8954,
2016-07-01 14:47:11,"-26.270254,28.032002",107.416,11,26596.0422,
2016-07-01 14:47:22,"-26.272644,28.033342",105.564,11,26893.4945,
2016-07-01 14:47:31,"-26.274952,28.034720",101.86,11,27184.5971,
